timestamp,category,variance
2025-12-24T09:14:51.610559,Fuel,515.0
2025-12-24T09:14:51.610559,Insurance,170.0
2025-12-24T09:14:51.610559,Maintenance,300.0
2025-12-24T09:14:51.610559,Other,645.0
2025-12-24T09:51:08.616128,Other,445.0,HIGH
2025-12-24T09:51:08.617319,Fuel,515.0,HIGH
2025-12-24T09:51:08.617319,Insurance,170.0,HIGH
2025-12-24T09:51:08.617319,Maintenance,300.0,HIGH
2025-12-24T09:51:08.617319,Other,645.0,HIGH
2025-12-24T09:57:56.947926,Fuel,515.0,HIGH
2025-12-24T09:57:56.947926,Insurance,170.0,HIGH
2025-12-24T09:57:56.947926,Maintenance,300.0,HIGH
2025-12-24T09:57:56.947926,Other,645.0,HIGH
2025-12-24T10:09:47.713454,Fuel,515.0,HIGH
2025-12-24T10:09:47.713454,Insurance,170.0,HIGH
2025-12-24T10:09:47.713454,Maintenance,300.0,HIGH
2025-12-24T10:09:47.713454,Other,645.0,HIGH
2025-12-24T11:50:26.328219,Fuel,515.0,HIGH
2025-12-24T11:50:26.328219,Insurance,170.0,HIGH
2025-12-24T11:50:26.328219,Maintenance,300.0,HIGH
2025-12-24T11:50:26.328219,Other,645.0,HIGH
2025-12-25T20:02:10.230178,Fuel,515.0,HIGH
2025-12-25T20:02:10.230178,Insurance,170.0,HIGH
2025-12-25T20:02:10.230178,Maintenance,300.0,HIGH
2025-12-25T20:02:10.230178,Other,645.0,HIGH
2025-12-30T07:49:20.418470,Fuel,515.0,HIGH
2025-12-30T07:49:20.418470,Insurance,170.0,HIGH
2025-12-30T07:49:20.418470,Maintenance,300.0,HIGH
2025-12-30T07:49:20.418470,Other,645.0,HIGH
2025-12-30T08:02:43.659809,Fuel,515.0,HIGH
2025-12-30T08:02:43.659809,Insurance,170.0,HIGH
2025-12-30T08:02:43.659809,Maintenance,300.0,HIGH
2025-12-30T08:02:43.659809,Other,645.0,HIGH
2025-12-30T08:03:31.975431,Fuel,515.0,HIGH
2025-12-30T08:03:31.975431,Insurance,170.0,HIGH
2025-12-30T08:03:31.975431,Maintenance,300.0,HIGH
2025-12-30T08:03:31.975431,Other,645.0,HIGH
2025-12-30T08:04:16.879005,Fuel,515.0,HIGH
2025-12-30T08:04:16.879005,Insurance,170.0,HIGH
2025-12-30T08:04:16.879005,Maintenance,300.0,HIGH
2025-12-30T08:04:16.879005,Other,645.0,HIGH
2025-12-30T08:04:28.225179,Fuel,515.0,HIGH
2025-12-30T08:04:28.225179,Insurance,170.0,HIGH
2025-12-30T08:04:28.225179,Maintenance,300.0,HIGH
2025-12-30T08:04:28.225179,Other,645.0,HIGH
2025-12-30T20:22:53.340640,Fuel,515.0,HIGH
2025-12-30T20:22:53.340640,Insurance,170.0,HIGH
2025-12-30T20:22:53.340640,Maintenance,300.0,HIGH
2025-12-30T20:22:53.340640,Other,645.0,HIGH
2025-12-30T20:36:15.149928,Fuel,515.0,HIGH
2025-12-30T20:36:15.149928,Insurance,170.0,HIGH
2025-12-30T20:36:15.149928,Maintenance,300.0,HIGH
2025-12-30T20:36:15.149928,Other,645.0,HIGH
2025-12-30T20:52:16.356372,Fuel,515.0,HIGH
2025-12-30T20:52:16.356372,Insurance,170.0,HIGH
2025-12-30T20:52:16.356372,Maintenance,300.0,HIGH
2025-12-30T20:52:16.356372,Other,645.0,HIGH
2025-12-30T21:30:35.549493,Fuel,515.0,HIGH
2025-12-30T21:30:35.549493,Insurance,170.0,HIGH
2025-12-30T21:30:35.549493,Maintenance,300.0,HIGH
2025-12-30T21:30:35.549493,Other,645.0,HIGH
2025-12-30T21:30:51.312685,Fuel,515.0,HIGH
2025-12-30T21:30:51.312685,Insurance,170.0,HIGH
2025-12-30T21:30:51.312685,Maintenance,300.0,HIGH
2025-12-30T21:30:51.312685,Other,645.0,HIGH
2025-12-31T13:05:13.015618,Fuel,515.0,HIGH
2025-12-31T13:05:13.015618,Insurance,170.0,HIGH
2025-12-31T13:05:13.015618,Maintenance,300.0,HIGH
2025-12-31T13:05:13.015618,Other,645.0,HIGH
2025-12-31T13:15:47.466803,Fuel,515.0,HIGH
2025-12-31T13:15:47.466803,Insurance,170.0,HIGH
2025-12-31T13:15:47.466803,Maintenance,300.0,HIGH
2025-12-31T13:15:47.466803,Other,645.0,HIGH
2025-12-31T13:16:50.028820,Fuel,515.0,HIGH
2025-12-31T13:16:50.028820,Insurance,170.0,HIGH
2025-12-31T13:16:50.028820,Maintenance,300.0,HIGH
2025-12-31T13:16:50.028820,Other,645.0,HIGH
2025-12-31T13:30:21.226677,Fuel,515.0,HIGH
2025-12-31T13:30:21.226677,Insurance,170.0,HIGH
2025-12-31T13:30:21.226677,Maintenance,300.0,HIGH
2025-12-31T13:30:21.226677,Other,645.0,HIGH
2025-12-31T13:32:41.351038,Fuel,515.0,HIGH
2025-12-31T13:32:41.351038,Insurance,170.0,HIGH
2025-12-31T13:32:41.351038,Maintenance,300.0,HIGH
2025-12-31T13:32:41.351038,Other,645.0,HIGH
2025-12-31T13:33:58.177131,Fuel,515.0,HIGH
2025-12-31T13:33:58.177131,Insurance,170.0,HIGH
2025-12-31T13:33:58.177131,Maintenance,300.0,HIGH
2025-12-31T13:33:58.177131,Other,645.0,HIGH
2025-12-31T14:15:56.690213,Fuel,515.0,HIGH
2025-12-31T14:15:56.690213,Insurance,170.0,HIGH
2025-12-31T14:15:56.690213,Maintenance,300.0,HIGH
2025-12-31T14:15:56.690213,Other,645.0,HIGH
2025-12-31T14:21:57.172768,Fuel,515.0,HIGH
2025-12-31T14:21:57.172768,Insurance,170.0,HIGH
2025-12-31T14:21:57.172768,Maintenance,300.0,HIGH
2025-12-31T14:21:57.172768,Other,645.0,HIGH
2025-12-31T14:47:34.736138,Fuel,515.0,HIGH
2025-12-31T14:47:34.736138,Insurance,170.0,HIGH
2025-12-31T14:47:34.736138,Maintenance,300.0,HIGH
2025-12-31T14:47:34.736138,Other,645.0,HIGH
2025-12-31T14:48:18.498243,Fuel,515.0,HIGH
